Question,Correct Answer,Type,Option 1,Rationale 1,Option 2,Rationale 2,Option 3,Rationale 3,Option 4,Rationale 4,Syllabus Ref
"A banking organization has moved the majority of its services online and is closing down its branch offices.
 
 What is this an example of?",Digital organization,MCQ,Digital organization,"Correct. A digital organization is ""An organization that is enabled by digital
technology to do business significantly differently, or to do significantly different
business."" Ref 2.3",Safety culture,"Incorrect. Safety culture relates to the “shared beliefs, perceptions, and values”
that an organization fosters (not. its use of technology). Safety culture is “a climate
in which people are comfortable being (and expressing) themselves.” Ref 3.2.2.2",High velocity IT,"Incorrect. This change is focused on business enablement, but there is no
indication that speed is a consideration. High velocity IT is “The application of digital
technology for significant business enablement, where time to market, time to
customer, time to change, and speed in general are crucial.” Ref 2.1",Continuous delivery,"Incorrect. Continuous delivery relates to how software is released. Continuous
delivery means that “built software can be released to production at any time.” Ref
4.2.5",1.1.a
"An organization is undergoing a digital transformation, and is encouraging the adoption of new behaviour patterns. An investigation has revealed that some team members avoid experimentation and prefer to search or wait for a single correct solution.
 
 Which TWO key behaviour patterns are MOST LIKELY to be affected by this attitude?
 
 1. Accept ambiguity and uncertainty
 2. Commit to continual learning
 3. Help get customersÕ jobs done
 4. Trust and be trusted",1 and 2,MCQ,1 and 2,"A. Correct.
(1) Experimentation is important for acceptance of uncertainty and continual
learning. ""It is important to favour experimentation and not be afraid to fail safely and
mindfully. Practitioners should not be scared of the unknown. They should be able
to accept that things are not perfect, and have techniques to deal with that."" Ref
3.1.1
(2) ""It is important that practitioners commit themselves to continually learning and
improving their knowledge and the level of information they have. Data-driven
experiments can be used to challenge and improve hypotheses."" Ref 3.1.5",2 and 3,,3 and 4,"B, C, D. Incorrect.
(3) Experimentation is important for continual learning. However, for getting
customer's job done it is less critical. The other key behaviour pattern requiring
experimentation is acceptance of ambiguity and uncertainty. Ref. 3.1.1, 3.1.4, 3.1.5
(4) Experimentation is important for acceptance of ambiguity and uncertainty.
However, for the 'trust and be trusted' pattern it is less critical. The other key
behaviour pattern requiring experimentation is continual learning. Ref. 3.1.1, 3.1.2,
3.1.5",1 and 4,,3.2.e
"An organization has several value streams for the creation of new services. The organization has found that users are not sufficiently informed about the changes which will affect them, and that user complaints about new services have not been escalated to the correct teams.
 
 Which practice would MOST help to improve this situation?",Service desk,MCQ,Problem management,"Incorrect. The purpose of the problem management practice is ""to reduce the
likelihood and impact of incidents by identifying actual and potential causes of
incidents, and managing workarounds and known errors."" Ref Problem
Management Practice Guide 2.1",Risk management,"Incorrect. The purpose of the risk management practice is ""to ensure that the
organization understands and effectively handles risks."" Ref Risk Management
Practice Guide 2.1",Service design,"Incorrect. ""The purpose of the service design practice is to design products and
services that are fit for purpose, fit for use, and that can be delivered by the
organization and its ecosystem."" Ref Service Design Practice Guide 2.1",Service desk,"Correct. ""As a bi-directional communications gateway between the service
provider and its users, a key focus on the service desk practice is to effectively
capture, record, and integrate communications into relevant value streams."" Ref
Service Desk Practice Guide 2.4.2",4.8.b
"An organization wants to develop software quickly.
 
 What is the BEST way to incorporate security requirements into the development efforts?",Train all developers in information security management so they can take responsibility for the security of the products they develop,MCQ,Train all developers in information security management so they can take responsibility for the security of the products they develop,"Correct. ""Integrating information security duties into the daily work of
practitioners"" is the best way to ensure security. ""Staff who have been trained well,
and who follow information security policies and other controls, can help to detect,
prevent, and correct security incidents. Poorly trained or insufficiently motivated staff
can be a major vulnerability."" Ref 4.5.2",Assign an information security management expert to each development team so they can provide guidance to developers,"Incorrect. ""Traditionally, duties are separated in order to reduce the risk of fraud
and error; for example, the risk that untested and unauthorized code will be
deployed into production. This can, however, lead to delay, and frustration at the
perceived bureaucracy. The separation of duties is not an objective in itself: it is a
method of reaching an objective."" Ref 4.5.2",Maintain a separate information security management team that reviews and approves all production software," Incorrect. ""In high-velocity environments, information security is integrated as
much as possible into the daily work of development and operations"". Ref 4.5.2",Add security controls to production software after it has been developed to speed up the development process," Incorrect. ""In high-velocity environments, information security is integrated as
much as possible into the daily work of development and operations"". Ref 4.5.2",4.9
What do Lean and Agile consider a barrier to high performance?,Large batch sizes of work,MCQ,Large batch sizes of work,"Correct. Making batch sizes of work as small as feasible is a Lean principle that
is also found in Agile. In the context of Lean, “… small batch sizes of work is one of
the best predictors of short lead times. It is therefore beneficial to break down larger
pieces of work into smaller items.” In the context of Agile, “Building on the lean
principle that small batch sizes of work are beneficial to throughput, working
software is delivered in frequent increments.” Ref 2.5.2.1, 2.5.2.2",Limiting work-in-progress,"Incorrect. Limiting work-in-progress allows people to focus and helps to increase
throughput and so is not viewed as a constraint. “Another lean technique to improve
throughput is to reduce work-in-progress.” Ref 2.5.2.1",Pulling versus pushing work," Incorrect. Lean encourages the use of pull systems such as Kanban to improve
the flow of work. “Instead of utilizing each workstation in a value stream to maximum
capacity and ‘pushing’ work onto the next workstation, work should be ‘pulled’ when
a particular workstation requires input”. Ref 2.5.2.1",Making work visible,"Incorrect. Both Lean and Agile encourage transparency and the use of visual
control mechanisms such as Kanban boards to make work visible. “Kanban boards
can be used to support this way of working by providing a visualization of the
backlog of work, the work in progress, and the completed work.” Ref 2.5.2.1",3.1.c
Which statement about high velocity IT is CORRECT?,It always considers time as a measure,MCQ,It requires continuous deployment,"Incorrect. Although continuous deployment may be an aim of organizations
looking to increase velocity, it is not a requirement. Continuous deployment may not
be practical or possible for companies constrained by regulatory or other
requirements. Continuous deployment means that “Changes go through the pipeline
and are automatically put into the production environment, enabling multiple
production deployments per day.” Ref 4.2.5",It always considers time as a measure,"Correct. ""High velocity IT is the application of digital technology for significant
business enablement, where time to market, time to customer, time to change, and
speed in general are crucial.” Ref 2.1",It relates only to product warranty,"Incorrect. High velocity “equates with high performance in general” and does not
come at the expense of the utility (value) or warranty of the solution. Ref 2.1",It is always a worthwhile investment,"Incorrect. “HVIT provides many organizations with higher degrees of digital
enablement, but it is not always a prudent investment. For some organizations, it
does not make sense to undertake such a transformation, as they have other,
higher priorities.” Ref 2.1",1.1.b 
Which BEST describes Toyota Kata?,An approach to scientific experimentation that helps to form and sustain new habits,MCQ,An approach for identifying what is good for society,"Incorrect. This describes a situation that can arise when considering the ethics
associated with high velocity IT approaches. Ethics is ""A system of principles that
defines what is good for individuals and society."" Ref 3.2.1.1",An approach that helps to improve throughput by improving flow and reducing waste,"Incorrect. This answer describes a lean approach. Lean ""helps to improve
throughput and reduce waste. HVIT environments benefit from approaches with
Lean characteristics due to the pressure on time to market and time to customer"".
Ref 2.5.2",An approach to identifying how parties collaborate to co-create value,"Incorrect. This describes service-dominant logic. Service-dominant logic is ""A
mental model of an (economic) exchange in which organizations co-create value by
applying their competencies and other resources for the benefit of each other"". Ref
2.5.2.5",An approach to scientific experimentation that helps to form and sustain new habits,"Correct. ""Disciplined scientific thinking with incremental improvements reduces
our natural bias to jump to the wrong conclusions. Practice and coaching help us
form and sustain new habits, after which we can start improvising. One approach to
scientific experimentation is Toyota Kata"". Ref 3.2.3.3",3.1.d 
"A service is meeting all the requirements for utility and warranty, but customer and user experience are not good. 
 
 Which practice will contribute MOST to understanding what experiences would be valued by users and customers?",Business analysis,MCQ,Service desk,"Incorrect. The ‘service desk’ practice may contribute some understanding of user
experience needs, but is not likely to contribute to an understanding of customer
experience nearly as well as the ’business analysis’ practice. ""Being empathetic and
having the emotional intelligence to understand users’ experiential needs."" Ref
4.4.1, tab 4.21",Service catalogue management,"Incorrect. The ‘service catalogue management’ practice may document the
intended customer experience, but is reliant on other practices for the information.
Service catalogue management may help set expectations for customer and user
experience by ""Describing services and offerings in terms of technical as well as
experiential aspects."" Ref 4.4.1, tab 4.21",Business analysis,"Correct. ""Business analysis - Understanding user needs and translating them into
customer experience or user experience requirements, in addition to traditional
requirements regarding utility and warranty."" Ref 4.4.1, tab 4.21",Software development and management,"Incorrect. The ‘software development and management’ practice may impact
user and customer experience by how user interfaces are designed, but will not help
to understand the experiences that would be valued. ""The desired service
experience informs the design of the user interface."" Ref 4.4.1, tab 4.21",4.7
"An organization that works in silos and has poor communication has started using chaos engineering tools to test the resilience of its IT systems.
 
  Which practice would be MOST directly impacted by the poor communication?",Monitoring and event management,MCQ,Problem management,"Incorrect. Chaos engineering can be used to proactively detect problems, but this
practice would not be directly impacted. “The data gathered from chaos engineering
tools can help to identify underlying problems that require investigation and
remediation.” Ref 4.3.2, tab 4.18",Service continuity management,"Incorrect. The ‘service continuity management’ practice includes “Designing
service continuity measures with sufficient resilience and redundancy to cope with
the unexpected outages caused by chaos engineering tools”. This practice would
not be directly impacted. Ref 4.3.2, tab 4.18",Infrastructure and platform management,"Incorrect. The ‘infrastructure and platform management’ practice includes
“Designing infrastructure and platforms for sufficient resilience and redundancy to
deal with the unexpected outages caused by chaos engineering tools”. This practice
would not be directly impacted. Ref 4.3.2, tab 4.18",Monitoring and event management,"Correct. “Monitoring and event management tools can be set up to flag outages
orchestrated by chaos engineering tools, or to monitor the quality of service rather
than the technical components.” Ref 4.3.2, tab 4.18",4.6.c 
"A centralized IT department is adopting site reliability engineering to increase the resilience and performance of IT systems. 
 
 What is this an example of?",IT transformation,MCQ,High velocity IT,"Incorrect. The focus of site reliability engineering is on IT operations (vs. business
enablement) and there is no indication that speed is a consideration. “SRE applies a
software development mindset to IT operations, and helps to bridge the gap
between development and operations.” The focus of high velocity IT is on
“significant business enablement, where time to market, time to customer, time to
change, and speed in general are crucial.” Ref 2.1, 2.5.2.3",Digital technology,"Incorrect. Site reliability engineering is an approach (not a technology) that
“applies a software development mindset to IT operations, and helps to bridge the
gap between development and operations.” “IT transformation is focused on how IT
services and IS are developed, run, and supported.” Ref 2.4.1, 2.5.2.3",IT transformation,"Correct. This relates to a centralized IT department. “In organizations where
business and IT are regarded as separate organizational functions, ‘IT
transformation’ is often used to denote major change that improves how IT services
are provided.” The focus of site reliability engineering is on IT operations. “IT
transformation is focused on how IT services and IS are developed, run, and
supported.” Ref 2.4.1",Digital transformation,"Incorrect. Site reliability engineering is an approach (not a technology) that
focuses on IT operations. “IT transformation is focused on how IT services and IS
are developed, run, and supported.” Digital transformation involves the “use of
digital technology to enable a significant improvement in the realization of an
organization’s objectives that could not feasibly have been achieved by non-digital
means”. Ref 2.4, 2.4.1",1.1.d 
